zcta5,state_fips,state_code,centroid_latitude_degrees,centroid_longitude_degrees,gdd_base_f,accumulation_start_date,observation_start_date,observation_end_date,days_with_observations,cumulative_gdd_f_degree_days,station_id,station_distance_km,fallback_rank,station_candidate_count,freshness_status,freshness_age_days,freshness_max_lag_days,data_available,unavailable_reason
01001,25,MA,42.062368,-72.625754,50,2026-01-01,2026-01-01,2026-07-12,193,1304.3,USW00014775,13,1,8,fresh,4,7,true,
01002,25,MA,42.377212,-72.464795,50,2026-01-01,2026-01-01,2026-07-13,192,1219.5,USC00190120,6.1,1,8,fresh,3,7,true,
01003,25,MA,42.391883,-72.523584,50,2026-01-01,2026-01-01,2026-07-13,192,1219.5,USC00190120,1.3,1,8,fresh,3,7,true,
01005,25,MA,42.418884,-72.112077,50,2026-01-01,2026-01-01,2026-07-12,189,1117,USW00054756,22.1,2,8,fresh,4,7,true,
01007,25,MA,42.283935,-72.400409,50,2026-01-01,2026-01-01,2026-07-09,188,1062.9,USC00190562,4.3,1,8,fresh,7,7,true,
01008,25,MA,42.192024,-72.964076,50,2026-01-01,2026-01-01,2026-07-13,183,1059.8,USC00199193,17.2,1,8,fresh,3,7,true,
01009,25,MA,42.211386,-72.341809,50,2026-01-01,2026-01-01,2026-07-09,188,1062.9,USC00190562,7.6,1,8,fresh,7,7,true,
01010,25,MA,42.128176,-72.205352,50,2026-01-01,2026-01-01,2026-07-13,193,1168.7,USC00192107,6.8,1,8,fresh,3,7,true,
01011,25,MA,42.290128,-72.966516,50,2026-01-01,2026-01-01,2026-07-12,193,1304.3,USW00014775,25.4,2,8,fresh,4,7,true,
01012,25,MA,42.375425,-72.858192,50,2026-01-01,2026-01-01,2026-07-10,176,517,USC00192175,22.1,1,8,fresh,6,7,true,
01013,25,MA,42.142009,-72.595496,50,2026-01-01,2026-01-01,2026-07-11,184,1338,USW00014703,8.2,1,8,fresh,5,7,true,
01020,25,MA,42.172611,-72.56192,50,2026-01-01,2026-01-01,2026-07-11,184,1338,USW00014703,3.9,1,8,fresh,5,7,true,
01022,25,MA,42.197187,-72.541872,50,2026-01-01,2026-01-01,2026-07-11,184,1338,USW00014703,0.8,1,8,fresh,5,7,true,
01026,25,MA,42.470032,-72.925707,50,2026-01-01,2026-01-01,2026-07-10,176,517,USC00192175,12.5,1,8,fresh,6,7,true,
01027,25,MA,42.295008,-72.751877,50,2026-01-01,2026-01-01,2026-07-12,193,1304.3,USW00014775,15.4,1,8,fresh,4,7,true,
01028,25,MA,42.062378,-72.498111,50,2026-01-01,2026-01-01,2026-07-11,184,1338,USW00014703,15.6,1,8,fresh,5,7,true,
01029,25,MA,42.176271,-73.035292,50,2026-01-01,2026-01-01,2026-07-13,183,1059.8,USC00199193,21.2,1,8,fresh,3,7,true,
01030,25,MA,42.072925,-72.686972,50,2026-01-01,2026-01-01,2026-07-13,183,1059.8,USC00199193,9.9,1,8,fresh,3,7,true,
01031,25,MA,42.327809,-72.191968,50,2026-01-01,2026-01-01,2026-07-09,188,1062.9,USC00190562,13.9,1,8,fresh,7,7,true,
01032,25,MA,42.457613,-72.81478,50,2026-01-01,2026-01-01,2026-07-10,176,517,USC00192175,13.7,1,8,fresh,6,7,true,
